kind,precinct,name,room,address,city,zip,bus,extended,note
ed,111,University Hills Branch Library,Meeting Room,4721 Loyola Ln,Austin,78723,Yes,0,
ed,113,Windsor Park Branch Library,Meeting Room,5833 Westminster Dr,Austin,78723,Yes,0,
ed,120,YMCA East Communities Y,Lobby,5315 Ed Bluestein Blvd,Austin,78723,No,0,
ed,130,Austin Achieve Northeast Campus,High School Gym,7424 E Hwy 290,Austin,78723,No,0,
ed,123,Community First! Village,Unity Hall,9301 Hog Eye Rd,Austin,78724,Yes,0,
ed,121,LBJ Early College High School,Community Room,7309 Lazy Creek Dr,Austin,78724,Yes,0,
ed,120,New Hope Missionary Baptist Church,The Vestibule,9300 Decker Ln,Austin,78724,No,0,
ed,122,Turner Roberts Recreation Center,Arts and Crafts Room,7201 Colony Loop Dr,Austin,78724,Yes,0,
ed,126,Dailey Middle School,Lobby of the Gym,14000 Westall St,Austin,78725,No,0,
ed,275,Grandview Hills Elementary School,MPR,12024 Vista Parke Dr,Austin,78726,No,0,
ed,387,Peace Lutheran Church,Narthex,10625 N FM 620 Rd,Austin,78726,No,0,
ed,262,Davis Elementary School,Main Lobby,5214 Duval Rd,Austin,78727,No,0,
ed,264,Milwood Branch Library,Meeting Room,12500 Amherst Dr,Austin,78727,Yes,0,
ed,276,United Christian Church,Fellowship Hall,3500 W Parmer Ln,Austin,78727,No,0,
ed,190,Affinity at Wells Branch,Main Lobby,14508 Owen Tech Blvd,Austin,78728,Yes,0,
ed,191,Wells Branch Community Center,Meeting Room,2106 Klattenhoff Dr,Austin,78728,No,0,
ed,193,Wells Branch MUD Recreation Center,Arts and Crafts Room,3000 Shoreline Dr,Austin,78728,No,0,
ed,271,River Place Elementary School,MPR,6500 Sitio Del Rio Blvd,Austin,78730,No,0,
ed,232,Church at Highland Park,Atrium,5206 Balcones Dr,Austin,78731,Yes,0,
ed,234,Northwest Hills United Methodist Church Youth Center,Youth Center,7027 Hart Ln,Austin,78731,Yes,0,
ed,273,Canyon Ridge Middle School,Gym,12601 Country Trails Ln,Austin,78732,No,0,
ed,324,Ce Bar Fire Department,Training Room,353 S Commons Ford Rd,Austin,78733,No,0,
ed,326,Laura Bush Community Library,Commons,9411 Bee Caves Rd,Austin,78733,No,0,
ed,371,Lake Travis ISD Educational Development Center,Sage Room,607 Ranch Road 620 N,Austin,78734,No,0,
ed,294,Travis County Sheriff West Command,Show Up Room,3800 Hudson Bend Rd,Austin,78734,No,0,
ed,363,Lake Travis ISD Transportation Center,Training Room,16101 State Hwy 71 Bldg A,Austin,78734,No,0,
